ds,yhat,yhat_lower,yhat_upper
2020-01-01,155257.12855369804,-10295.074247799015,341000.3456577173
2020-01-02,165868.04743938963,-12028.445753710075,344474.1638658463
2020-01-03,155916.08553657515,-11837.377063737868,315893.3933364703
2020-01-04,137953.4830914058,-44878.9885584247,312016.07419857505
2020-01-05,140528.85793321958,-32559.370122214255,322346.05866794096
2020-01-06,136750.79785875243,-65615.84277085918,297831.9034952676
2020-01-07,140216.970481213,-34536.88347533594,302856.21724823624
2020-01-08,136688.95557667327,-38537.26075886467,314424.60251768125
2020-01-09,148818.5483552305,-34395.95841554053,320068.83325084747
2020-01-10,140556.1725747238,-45266.091519855254,321698.1367805831
2020-01-11,124424.54691707416,-55498.28873261751,300750.12920628657
2020-01-12,128940.19000786386,-46843.291591392765,300961.8206280783
2020-01-13,127177.64335582798,-60019.57954938094,294477.2413395858
2020-01-14,132699.2540356279,-35069.05101229643,314764.7019783171
2020-01-15,131230.70789381998,-54552.21325263951,304393.9268537317
2020-01-16,145388.04680564985,-30427.352219109267,332880.7490476227
2020-01-17,139086.7936782451,-31996.252117176744,317679.56909048045
2020-01-18,124816.31341182062,-50560.671025648226,304287.00868893473
2020-01-19,131061.98033766264,-49493.50894562612,301164.57361710235
2020-01-20,130870.01721962659,-39889.10640483929,312115.9585928832
2020-01-21,137777.83444432853,-33991.063434838834,303665.56699941447
2020-01-22,137490.0482554078,-47041.71281992389,311673.78664816247
2020-01-23,152605.90118030983,-17752.3878348776,319920.93791814736
2020-01-24,147028.69973671614,-27837.34075648523,321629.2208383837
2020-01-25,133240.39098627833,-50385.98248490368,300528.2577006001
2020-01-26,139723.8439201353,-32478.447873273522,310810.7912689792
2020-01-27,139527.6984443821,-38578.28528433079,328869.1123863122
2020-01-28,146196.61053426578,-23378.04840083819,322093.94339071837
2020-01-29,145447.07462849957,-30133.258698489404,313091.4236024047
2020-01-30,159894.55084614505,-22190.947983775182,342685.0608505447
2020-01-31,153462.51867482613,-31124.76167927677,329258.1849964275
2020-02-01,138656.58723826977,-50941.89950842891,305555.17402916594
2020-02-02,143986.23846468213,-35570.27962904215,328896.56990089756
2020-02-03,142529.07782489536,-31785.617719569833,316691.88488635636
2020-02-04,147860.43441653624,-22464.07380566416,348502.4295024748
2020-02-05,145728.5056849434,-26284.41385483184,321394.07421132544
2020-02-06,158780.78928210822,-21312.944483857154,329285.93607215764
2020-02-07,150972.4390006059,-35144.58406038616,326162.12140375166
2020-02-08,134839.69020994141,-41581.16724365482,309343.70256298117
2020-02-09,138920.94612880316,-28897.73698377408,309441.7577823928
2020-02-10,136320.41397281305,-41851.51751623535,318185.6973433604
2020-02-11,140637.14616771258,-22479.92137337599,309739.3165449122
2020-02-12,137639.6940729582,-36450.00490877989,314473.52214521554
2020-02-13,149992.12734866055,-32638.93883267536,328190.4139241014
2020-02-14,141662.06476941277,-42106.07956249499,323047.8473133794
2020-02-15,125193.86882263079,-48280.51230576769,295001.69052548957
